Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z20814;23017315;Z20814_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20815;23017315;Z20815_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20816;23017315;Z20816_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BUREAU SOFIA;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20817;23017315;Z20817_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20818;23017315;Z20818_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20819;23017315;Z20819_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20820;23017315;Z20820_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z20821;23017315;Z20821_23017315_5039640;immo inventoriables immatriculables (IMA);SAFRAN ENGINEERING SERVICES;;CHAISES BUREAU;;;5039640;;;BE;1,00;600,00;;30/03/2023;07/04/2023;;;;;;;Chaises de bureau, chaises atelier, chaise atelier ESD;;;
Z21042;23017393;Z21042_23017393_5045161;immo inventoriables dénombrable (DEN);MULTEK SARL AU;;disjoncteur 2p 10a avec vigi 300ma;;;5045161;;;;2,00;580,00;;27/06/2023;25/07/2023;;;;;;;Projet MRO. Manuf eqt;;;
Z30004;19009111;Z30004_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;3,00;570,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z30005;19009111;Z30005_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;3,00;570,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z30007;19009111;Z30007_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;3,00;570,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z30008;19009111;Z30008_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;3,00;535,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z20902;22015466;Z20902_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20918;22015466;Z20918_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20919;22015466;Z20919_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20920;22015466;Z20920_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20921;22015466;Z20921_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20922;22015466;Z20922_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20923;22015466;Z20923_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20924;22015466;Z20924_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20925;22015466;Z20925_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20926;22015466;Z20926_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20927;22015466;Z20927_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20928;22015466;Z20928_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20929;22015466;Z20929_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20930;22015466;Z20930_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20931;22015466;Z20931_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20932;22015466;Z20932_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20933;22015466;Z20933_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20934;22015466;Z20934_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20935;22015466;Z20935_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20936;22015466;Z20936_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20937;22015466;Z20937_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20938;22015466;Z20938_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20939;22015466;Z20939_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20940;22015466;Z20940_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20941;22015466;Z20941_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20942;22015466;Z20942_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20943;22015466;Z20943_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20944;22015466;Z20944_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20945;22015466;Z20945_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20946;22015466;Z20946_22015466_5040614;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;Fourniture et pose plafonnier 60X60 led 40W philips;;;5040614;;;Duct;1,00;503,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20091;20012031;Z20091_20012031_5020006;immo inventoriables dénombrable (DEN);CHAFII INDUSTRIELLE;;;;;5020006;;;;4,00;500,00;;05/04/2021;07/04/2021;;;;;;;#N/A;;;
Z20237;22015159;Z20237_22015159_5016031;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;fourniture et pose des bacs coulissante;;;5016031;;;;1,00;500,00;;05/05/2022;28/07/2022;;;;;;;Mobilier prod - Sertissage;;;
Z20242;22015159;Z20242_22015159_5016031;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;fourniture et pose des bacs coulissante;;;5016031;;;;1,00;500,00;;05/05/2022;28/07/2022;;;;;;;Mobilier prod - Sertissage;;;
Z20999;23017761;Z20999_23017761_5044347;immo inventoriables dénombrable (DEN);TELEM;;Détecteurs thermo vélocimétrique;;;5044347;;;Duct;4,00;429,00;;14/06/2023;26/06/2023;;;;;;;Système détection incendie atelier chaudronnerie DUCT;;;
Z21000;23017761;Z21000_23017761_5044347;immo inventoriables dénombrable (DEN);TELEM;;Détecteurs de fumes optique;;;5044347;;;Duct;4,00;429,00;;14/06/2023;26/06/2023;;;;;;;Système détection incendie atelier chaudronnerie DUCT;;;
Z21003;23017761;Z21003_23017761_5044347;immo inventoriables dénombrable (DEN);TELEM;;Extincteurs ABC 2 ou 3 Kg;;;5044347;;;Duct;4,00;429,00;;14/06/2023;26/06/2023;;;;;;;Système détection incendie atelier chaudronnerie DUCT;;;
Z20993;23017760;Z20993_23017760_5044220;immo inventoriables dénombrable (DEN);TESM;;changement des cadenas;;;5044220;;;;8,00;400,00;;12/06/2023;06/07/2023;;;;;;;Remplacement sanitaire atelier;;;
Z30002;19009111;Z30002_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;5,00;400,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z21215;23018170;Z21215_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 860-0178 STATION DE SOUDAGE MATCAL MX-500AV;;;5050077;7500;cave;cave;1,00;547,25;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21216;23018170;Z21216_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 184-7190 denudeur davum-tmc;;;5050077;7500;cave;cave;1,00;1126,07;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21217;23018170;Z21217_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 667-9267 KIT BRASA EXTRACTEUR DE FUMEE WF;;;5050077;7500;cave;cave;1,00;220,15;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21218;23018170;Z21218_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 100-0147 EXTRACTEUR DE FUMEE WELLER ZERO SMOG;;;5050077;7500;cave;cave;1,00;653,65;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21219;23018170;Z21219_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 100-0147 EXTRACTEUR DE FUMEE WELLER ZERO SMOG;;;5050077;7500;cave;cave;1,00;653,65;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21220;23018170;Z21220_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 100-0147 EXTRACTEUR DE FUMEE WELLER ZERO SMOG;;;5050077;7500;cave;cave;1,00;653,65;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21221;23018170;Z21221_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 100-0147 EXTRACTEUR DE FUMEE WELLER ZERO SMOG;;;5050077;7500;cave;cave;1,00;653,65;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21222;23018170;Z21222_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 100-0147 EXTRACTEUR DE FUMEE WELLER ZERO SMOG;;;5050077;7500;cave;cave;1,00;653,65;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21223;23018170;Z21223_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 667-9267 KIT BRASA EXTRACTEUR DE FUMEE WF;;;5050077;7500;cave;cave;1,00;220,15;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21224;23018170;Z21224_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 667-9267 KIT BRASA EXTRACTEUR DE FUMEE WF;;;5050077;7500;cave;cave;1,00;220,15;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21225;23018170;Z21225_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 667-9267 KIT BRASA EXTRACTEUR DE FUMEE WF;;;5050077;7500;cave;cave;1,00;220,15;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21226;23018170;Z21226_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 667-9267 KIT BRASA EXTRACTEUR DE FUMEE WF;;;5050077;7500;cave;cave;1,00;220,15;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21227;23018170;Z21227_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 184-7190 denudeur davum-tmc;;;5050077;7500;cave;cave;1,00;1126,07;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21228;23018170;Z21228_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 184-7190 denudeur davum-tmc;;;5050077;7500;cave;cave;1,00;1126,07;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z21229;23018170;_23018170_5050077;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;REF RS 860-0178 STATION DE SOUDAGE MATCAL MX-500AV;;;5050077;7500;cave;cave;1,00;547,25;;07/09/2023;20/10/2023;;;;;;;Matériel de brasage;;;
Z30003;19009111;Z30003_19009111_2447972;immo inventoriables dénombrable (DEN);TELEM;;;;;2447972;;;;5,00;400,00;;26/09/2019;23/04/2021;;;;;;;Sécurisation contre le feu des salles VXI & serveur;;;
Z20313;22015466;Z20313_22015466_5018895;immo inventoriables dénombrable (DEN);ISO QUAL TECH;;DALLES ESD;;;5018895;7520;MRO;MRO;150,00;399,00;;15/06/2022;29/07/2022;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20498;22016203;Z20498_22016203_5027884;immo inventoriables dénombrable (DEN);GRAND TRAVAUX LAARIFI;;REHAUSSE DE LA CLOTURE DU SITE SUIVANT CDC SAM;;;5027884;;;;198,00;392,16;;26/10/2022;28/11/2022;;;;;;;"Sûreté : Elevation clôture site
Sûreté : Système intrusion issu de secours.
Sûreté : bareaudage site";;;
Z20915;22015466;Z20915_22015466_5040614;immo inventoriables dénombrable (DEN);MULTEK SARL AU;;Fourniture et pose d'un cable d'alimentation R02V;;;5040614;;;;70,00;375,00;;13/04/2023;26/06/2023;;;;;;;"Moyens & outillages SET catalogues - Batch 1
Moyens & Outillage DUCT CMP - Unité de nettoyage 5/5";;;
Z20996;23017761;Z20996_23017761_5044347;immo inventoriables dénombrable (DEN);TELEM;;Bris de glaces rouge;;;5044347;;;Duct;1,00;358,00;;14/06/2023;26/06/2023;;;;;;;Système détection incendie atelier chaudronnerie DUCT;;;
Z21235;23018171;Z21235_23018171_5050333;immo inventoriables immatriculables (IMA);MICRODATA;;optiplex 7410 AIO;;;5050333;;IT;IT;1,00;10475,00;;11/09/2023;31/12/5999;;;;;;;4 PC AIO pour augmentation de capacité activité hors prod;;;
Z21236;23018171;Z21236_23018171_5050333;immo inventoriables immatriculables (IMA);MICRODATA;;optiplex 7410 AIO;;;5050333;;IT;IT;1,00;10475,00;;11/09/2023;31/12/5999;;;;;;;4 PC AIO pour augmentation de capacité activité hors prod;;;
Z21237;23018171;Z21237_23018171_5050333;immo inventoriables immatriculables (IMA);MICRODATA;;optiplex 7410 AIO;;;5050333;;IT;IT;1,00;10475,00;;11/09/2023;31/12/5999;;;;;;;4 PC AIO pour augmentation de capacité activité hors prod;;;
Z21238;23018171;Z21238_23018171_5050333;immo inventoriables immatriculables (IMA);MICRODATA;;optiplex 7410 AIO;;;5050333;;IT;IT;1,00;10475,00;;11/09/2023;31/12/5999;;;;;;;4 PC AIO pour augmentation de capacité activité hors prod;;;
Z21239;23017477;Z21239_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;500-004 BASE CHAMBER 0-RING;;;5051416;7500;USINAGE;DUAL 3;4,00;2,50;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21240;23017477;Z21240_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;500-007 CHAMBER 0-RING;;;5051416;7500;USINAGE;DUAL 3;4,00;2,50;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21241;23017477;Z21241_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;243-100 EXIT TUBE;;;5051416;7500;USINAGE;DUAL 3;5,00;8,00;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21242;23017477;Z21242_23017477_5051416;immo inventoriables immatriculables (IMA);TEXAS AIRSONICS DIV;;500-050A MICRO ABRASIVE POWED DELIVERY SYSTEM 1.5 LITER;;;5051416;7500;USINAGE;DUAL 3;1,00;3750,00;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21243;23017477;Z21243_23017477_5051416;immo inventoriables immatriculables (IMA);TEXAS AIRSONICS DIV;;500-002 VIBRATOR ASSEMBLY 110V 50HZ;;;5051416;7500;USINAGE;DUAL 3;1,00;975,00;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21244;23017477;Z21244_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;500-126 0-RING;;;5051416;7500;USINAGE;DUAL 3;4,00;2,50;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21245;23017477;Z21245_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;500-001 SPIRAL CHAMBER;;;5051416;7500;USINAGE;DUAL 3;1,00;275,00;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21246;23017477;Z21246_23017477_5051416;immo inventoriables dénombrable (DEN);TEXAS AIRSONICS DIV;;243-001 CHAMBER CAP GASKET;;;5051416;7500;USINAGE;DUAL 3;1,00;12,00;;25/09/2023;13/02/2024;;;;;;;Remplacement pot de sablage DUAL3;;;
Z21008;23017761;_23017761_5044347;immo inventoriables dénombrable (DEN);TELEM;;Bris de glaces rouge;;;5044347;;;Duct;1,00;358,00;;14/06/2023;26/06/2023;;;;;;;Système détection incendie atelier chaudronnerie DUCT;;;
Z21248;23017580;Z21248_23017580_5051726;immo inventoriables immatriculables (IMA);MICRODATA;;dell 27 monitor -p2722h 68.6cm 27;;;5051726;;;;1,00;2263,00;;29/09/2023;31/12/5999;;;;;;;Baie de stockage / Server back up;;;
Z21249;23017580;Z21249_23017580_5051726;immo inventoriables immatriculables (IMA);MICRODATA;;dell 27 monitor -p2722h 68.6cm 27;;;5051726;;;;1,00;2263,00;;29/09/2023;31/12/5999;;;;;;;Baie de stockage / Server back up;;;
Z21250;23017580;Z21250_23017580_5051726;immo inventoriables immatriculables (IMA);MICRODATA;;dell 27 monitor -p2722h 68.6cm 27;;;5051726;;;;1,00;2263,00;;29/09/2023;31/12/5999;;;;;;;Baie de stockage / Server back up;;;
Z21251;23017580;Z21251_23017580_5051726;immo inventoriables immatriculables (IMA);MICRODATA;;dell 27 monitor -p2722h 68.6cm 27;;;5051726;;;;1,00;2263,00;;29/09/2023;31/12/5999;;;;;;;Baie de stockage / Server back up;;;
Z21252;23017765;Z21252_23017765_5052228;immo inventoriables immatriculables (IMA);ELECTROPLANET;;TELEPHONE SAMSUNG A04E 32GO NOIR;;;5052228;;;PRO;1,00;915,83;;06/10/2023;31/12/5999;;;;;;;14-Ecran PC;;;
Z20482;22016209;Z20482_22016209_5027119;immo inventoriables dénombrable (DEN);ISO QUAL TECH;;panneaux de signalétique de ESD;;;5027119;7520;ILOT ELEC;;1,00;350,00;;18/10/2022;05/12/2022;;;;;;;Matériel ESD Remise à niveau 1/2;;;
